ano,mes_num,mes_nome,segmento,quantidade_mes
2025,4,Abril,Autos + Com. Leves,197053
2025,4,Abril,Caminhões,9037
2025,4,Abril,Ônibus,2546
2025,4,Abril,Caminhões + Ônibus,11583
2025,4,Abril,Subtotal (A a D),208636
2025,4,Abril,Motos,182673
2025,4,Abril,Implementos Rodoviários,5970
2025,4,Abril,Outros,13446
2025,4,Abril,Total Geral,410725
2025,5,Maio,Autos,167540
2025,5,Maio,Com. Leves,46817
2025,5,Maio,Autos + Com. Leves,214357
2025,5,Maio,Caminhões,8887
2025,5,Maio,Ônibus,2415
2025,5,Maio,Caminhões + Ônibus,11302
2025,5,Maio,Subtotal (A a D),225659
2025,5,Maio,Motos,193348
2025,5,Maio,Implementos Rodoviários,5916
2025,5,Maio,Outros,13574
2025,5,Maio,Total Geral,438497
2025,6,Junho,Autos,159128
2025,6,Junho,Com. Leves,43036
2025,6,Junho,Autos + Com. Leves,202164
2025,6,Junho,Caminhões,8374
2025,6,Junho,Ônibus,2359
2025,6,Junho,Caminhões + Ônibus,10733
2025,6,Junho,Subtotal (A a D),212897
2025,6,Junho,Motos,179357
2025,6,Junho,Implementos Rodoviários,5536
2025,6,Junho,Outros,12827
2025,6,Junho,Total Geral,410617
2025,7,Julho,Autos,181787
2025,7,Julho,Com. Leves,48161
2025,7,Julho,Autos + Com. Leves,229948
2025,7,Julho,Caminhões,10523
2025,7,Julho,Ônibus,2754
2025,7,Julho,Caminhões + Ônibus,13277
2025,7,Julho,Subtotal (A a D),243225
2025,7,Julho,Motos,193165
2025,7,Julho,Implementos Rodoviários,6274
2025,7,Julho,Outros,15391
2025,8,Agosto,Autos,172280
2025,8,Agosto,Com. Leves,42210
2025,8,Agosto,Autos + Com. Leves,214490
2025,8,Agosto,Caminhões,8805
2025,8,Agosto,Ônibus,2053
2025,8,Agosto,Caminhões + Ônibus,10858
2025,8,Agosto,Subtotal (A a D),225348
2025,8,Agosto,Motos,185454
2025,8,Agosto,Implementos Rodoviários,5642
2025,8,Agosto,Outros,14635
2025,9,Setembro,Autos,178548
2025,9,Setembro,Com. Leves,52822
2025,9,Setembro,Autos + Com. Leves,231370
2025,9,Setembro,Caminhões,9579
2025,9,Setembro,Ônibus,2316
2025,9,Setembro,Caminhões + Ônibus,11895
2025,9,Setembro,Subtotal (A a D),243265
2025,9,Setembro,Motos,205862
2025,9,Setembro,Implementos Rodoviários,5934
2025,9,Setembro,Outros,15491
2025,10,Outubro,Autos,192752
2025,10,Outubro,Com. Leves,55125
2025,10,Outubro,Autos + Com. Leves,247877
2025,10,Outubro,Caminhões,10462
2025,10,Outubro,Ônibus,2419
2025,10,Outubro,Caminhões + Ônibus,12881
2025,10,Outubro,Subtotal (A a D),260758
2025,10,Outubro,Motos,209768
2025,10,Outubro,Implementos Rodoviários,6470
2025,10,Outubro,Outros,16352
2025,11,Novembro,Autos,182044
2025,11,Novembro,Com. Leves,45130
2025,11,Novembro,Autos + Com. Leves,227174
2025,11,Novembro,Caminhões,8790
2025,11,Novembro,Ônibus,2642
2025,11,Novembro,Caminhões + Ônibus,11432
2025,11,Novembro,Subtotal (A a D),238606
2025,11,Novembro,Motos,180601
2025,11,Novembro,Implementos Rodoviários,5464
2025,11,Novembro,Outros,13936
2025,12,Dezembro,Autos,210732
2025,12,Dezembro,Com. Leves,56385
2025,12,Dezembro,Autos + Com. Leves,267117
2025,12,Dezembro,Caminhões,9765
2025,12,Dezembro,Ônibus,2543
2025,12,Dezembro,Caminhões + Ônibus,12308
2025,12,Dezembro,Subtotal (A a D),279425
2025,12,Dezembro,Motos,193163
2025,12,Dezembro,Implementos Rodoviários,5398
2025,12,Dezembro,Outros,14482
2026,1,Janeiro,Autos,125136
2026,1,Janeiro,Com. Leves,37348
2026,1,Janeiro,Autos + Com. Leves,162484
2026,1,Janeiro,Caminhões,6379
2026,1,Janeiro,Ônibus,1675
2026,1,Janeiro,Caminhões + Ônibus,8054
2026,1,Janeiro,Subtotal (A a D),170538
2026,1,Janeiro,Motos,178537
2026,1,Janeiro,Implementos Rodoviários,4344
2026,1,Janeiro,Outros,13294
2026,1,Janeiro,Total Geral,366713
2026,2,Fevereiro,Autos,140548
2026,2,Fevereiro,Com. Leves,36249
2026,2,Fevereiro,Autos + Com. Leves,176797
2026,2,Fevereiro,Caminhões,6611
2026,2,Fevereiro,Ônibus,1742
2026,2,Fevereiro,Caminhões + Ônibus,8353
2026,2,Fevereiro,Subtotal (A a D),185150
2026,2,Fevereiro,Motos,171508
2026,2,Fevereiro,Implementos Rodoviários,5008
2026,2,Fevereiro,Outros,13265
2026,3,Março,Autos,206375
2026,3,Março,Com. Leves,51848
2026,3,Março,Autos + Com. Leves,258223
2026,3,Março,Caminhões,8766
2026,3,Março,Ônibus,2474
2026,3,Março,Caminhões + Ônibus,11240
2026,3,Março,Subtotal (A a D),269463
2026,3,Março,Motos,221573
2026,3,Março,Implementos Rodoviários,6392
2026,3,Março,Outros,15671
2026,4,Abril,Autos,187313
2026,4,Abril,Com. Leves,49943
2026,4,Abril,Autos + Com. Leves,237256
2026,4,Abril,Caminhões,8661
2026,4,Abril,Ônibus,2436
2026,4,Abril,Caminhões + Ônibus,11097
2026,4,Abril,Subtotal (A a D),248353
2026,4,Abril,Motos,210649
2026,4,Abril,Implementos Rodoviários,5545
2026,4,Abril,Outros,15115
2026,5,Maio,Autos,214300
2026,5,Maio,Com. Leves,49743
2026,5,Maio,Autos + Com. Leves,264043
2026,5,Maio,Caminhões,8200
2026,5,Maio,Ônibus,2074
2026,5,Maio,Caminhões + Ônibus,10274
2026,5,Maio,Subtotal (A a D),274317
2026,5,Maio,Motos,197685
2026,5,Maio,Implementos Rodoviários,5173
2026,5,Maio,Outros,15251
2026,6,Junho,Autos,212902
2026,6,Junho,Com. Leves,47565
2026,6,Junho,Autos + Com. Leves,260467
2026,6,Junho,Caminhões,9419
2026,6,Junho,Ônibus,2580
2026,6,Junho,Caminhões + Ônibus,11999
2026,6,Junho,Subtotal (A a D),272466
2026,6,Junho,Motos,194200
2026,6,Junho,Implementos Rodoviários,6072
2026,6,Junho,Outros,15682
2026,7,Julho,Autos,212691
2026,7,Julho,Com. Leves,53004
2026,7,Julho,Autos + Com. Leves,265695
2026,7,Julho,Caminhões,11192
2026,7,Julho,Ônibus,2691
2026,7,Julho,Caminhões + Ônibus,13883
2026,7,Julho,Subtotal (A a D),279578
2026,7,Julho,Motos,199181
2026,7,Julho,Implementos Rodoviários,7956
2026,7,Julho,Outros,17859
2026,8,Agosto,Autos,212876
2026,8,Agosto,Com. Leves,50178
2026,8,Agosto,Autos + Com. Leves,263054
2026,8,Agosto,Caminhões,9603
2026,8,Agosto,Ônibus,2437
2026,8,Agosto,Caminhões + Ônibus,12040
2026,8,Agosto,Subtotal (A a D),275094
2026,8,Agosto,Motos,205190
2026,8,Agosto,Implementos Rodoviários,6567
2026,8,Agosto,Outros,16917
