ano,mes_num,mes_nome,segmento,tipo_venda,rank,fabricante,quantidade_mes,participacao_pct
2022,5,Maio,Caminhões,Total,10,AGRALE,7,0.07
2022,5,Maio,Caminhões,Total,11,FORD,1,0.01
2022,5,Maio,Motos,Total,1,HONDA,103600,77.68
2022,5,Maio,Motos,Total,2,YAMAHA,19753,14.81
2022,5,Maio,Motos,Total,3,SHINERAY,2311,1.73
2022,5,Maio,Motos,Total,4,BMW,1224,0.92
2022,5,Maio,Motos,Total,5,ROYAL ENFIELD,1167,0.87
2022,5,Maio,Motos,Total,6,AVELLOZ,964,0.72
2022,5,Maio,Motos,Total,7,KAWASAKI,818,0.61
2022,5,Maio,Motos,Total,8,HAOJUE,803,0.6
2022,5,Maio,Motos,Total,9,DAFRA,779,0.58
2022,5,Maio,Motos,Total,10,VOLTZ,611,0.46
2022,5,Maio,Motos,Total,11,TRIUMPH,513,0.38
2022,5,Maio,Motos,Total,12,H.DAVIDSON,191,0.14
2022,5,Maio,Motos,Total,13,SUZUKI,133,0.1
2022,5,Maio,Motos,Total,14,DUCATI,7,0.06
2022,5,Maio,Motos,Total,15,BULL,60,0.04
2022,5,Maio,Motos,Total,16,SOUSA,47,0.04
2022,5,Maio,Motos,Total,17,ATMAN,28,0.02
2022,5,Maio,Motos,Total,18,TRAXX,27,0.02
2022,5,Maio,Motos,Total,19,KYMCO,26,0.02
2022,5,Maio,Motos,Total,20,WUYANG,19,0.01
2022,5,Maio,Motos,Total,21,KTM,15,0.01
2022,6,Junho,Autos,Total,1,VW,23968,17.94
2022,6,Junho,Autos,Total,1,FIAT,16036,50.3
2022,6,Junho,Autos,Total,2,FIAT,18820,14.09
2022,6,Junho,Autos,Total,2,TOYOTA,3845,12.06
2022,6,Junho,Autos,Total,3,HYUNDAI,16616,12.44
2022,6,Junho,Autos,Total,3,GM,2970,9.32
2022,6,Junho,Autos,Total,4,GM,16143,12.08
2022,6,Junho,Autos,Total,4,RENAULT,1987,6.23
2022,6,Junho,Autos,Total,5,TOYOTA,12616,9.44
2022,6,Junho,Autos,Total,5,FORD,1690,5.3
2022,6,Junho,Autos,Total,6,JEEP,11655,8.72
2022,6,Junho,Autos,Total,6,MITSUBISHI,1654,5.19
2022,6,Junho,Autos,Total,7,RENAULT,9177,6.87
2022,6,Junho,Autos,Total,7,VW,838,2.63
2022,6,Junho,Autos,Total,8,NISSAN,4716,3.53
2022,6,Junho,Autos,Total,8,NISSAN,793,2.49
2022,6,Junho,Autos,Total,9,PEUGEOT,4570,3.42
2022,6,Junho,Autos,Total,9,PEUGEOT,446,1.4
2022,6,Junho,Autos,Total,10,HONDA,4016,3.01
2022,6,Junho,Autos,Total,10,RAM,353,1.11
2022,6,Junho,Autos,Total,11,CITROEN,3680,2.75
2022,6,Junho,Autos,Total,11,IVECO,314,0.98
2022,6,Junho,Autos,Total,12,CAOA CHERY,2914,2.18
2022,6,Junho,Autos,Total,12,CITROEN,291,0.91
2022,6,Junho,Autos,Total,13,BMW,1568,1.17
2022,6,Junho,Autos,Total,13,KIA,236,0.74
2022,6,Junho,Autos,Total,14,MITSUBISHI,586,0.44
2022,6,Junho,Autos,Total,14,VW/MAN,154,0.48
2022,6,Junho,Autos,Total,15,M.BENZ,491,0.37
2022,6,Junho,Autos,Total,15,M.BENZ,119,0.37
2022,6,Junho,Autos,Total,16,FORD,358,0.27
2022,6,Junho,Autos,Total,16,EFFA,89,0.28
